,supervoxel_id,root_id,pos_x,pos_y,pos_z,soma_x,soma_y,soma_z,nucleus_id,flow,super_class,cell_class,cell_sub_class,supertype,cell_type,hemibrain_type,ito_lee_hemilineage,hartenstein_hemilineage,top_nt,top_nt_conf,known_nt,known_nt_source,side,nerve,vfb_id,fbbt_id,status,dimorphism,matching_notes,fru_dsx,synonyms
96053,8.3322022281124e+16,720575940615644066,184385.0,87503.0,2960.0,183736.0,91736.0,2712.0,7755198.0,intrinsic,optic,ME>LO,,,Tm20,,,,acetylcholine,0.552109406173742,acetylcholine,"Davis et al., 2020 (TAPIN)",right,,fw096104,,,isomorphic,,,
97009,8.37430665152981e+16,720575940612191194,191175.0,69579.0,3087.0,187224.0,67576.0,2111.0,7692725.0,intrinsic,optic,ME,,,Mi13,,,,gaba,0.652991316443054,,,right,,fw097061,,,isomorphic,,,
97190,7.62123743401598e+16,720575940645519214,81202.0,51281.0,6044.0,77196.0,54563.0,6821.0,,intrinsic,optic,LO>LOP,,,T5a,,,,acetylcholine,0.532857878883206,acetylcholine; acetylcholine,Mauss et al. 2014 (immuno); Shinomiya et al. 2014 (RT-PCR),left,,fw097243,,,isomorphic,,,
98840,7.41027548554847e+16,720575940637222256,50967.0,72488.0,4021.0,56588.0,78983.0,2884.0,,intrinsic,optic,LA>ME,L1-5,,L3,,,,acetylcholine,0.784818416161389,acetylcholine,"Davis et al., 2020 (TAPIN)",left,,fw098892,FBbt_00003720,,isomorphic,,,
99092,7.55785744045286e+16,720575940623329160,72319.0,44163.0,4220.0,76192.0,38792.0,4188.0,1433714.0,intrinsic,optic,ME>LO.LOP,,,TmY3,,,,acetylcholine,0.631005171194619,acetylcholine,"Davis et al., 2020 (TAPIN)",left,,fw099144,,,isomorphic,,,
99517,7.5370491829204e+16,720575940625000947,69024.0,89187.0,4390.0,69024.0,89184.0,4387.0,1363585.0,intrinsic,optic,ME,,,Mi13,,,,gaba,0.490780759504435,,,left,,fw099571,,,isomorphic,,,
100616,8.44475784565286e+16,720575940639182313,201281.0,82050.0,2020.0,203920.0,80680.0,1695.0,8186790.0,intrinsic,optic,LA>ME,L1-5,,L3,,,,acetylcholine,0.844857292699166,acetylcholine,"Davis et al., 2020 (TAPIN)",right,,fw100673,FBbt_00003720,,isomorphic,,,
100666,7.52992300004523e+16,720575940626105018,68279.0,76048.0,6603.0,60792.0,79120.0,6723.0,1159843.0,intrinsic,optic,ME>LO,,,T3,,,,acetylcholine,0.845053512243331,acetylcholine,"Konstantinides et  al., 2018 (FACS RNA-seq))",left,,fw100723,,,isomorphic,,,
100739,8.43063601328675e+16,720575940614602671,199471.0,74579.0,3347.0,199472.0,81136.0,2961.0,8193463.0,intrinsic,optic,ME,,,Dm3q,,,,glutamate,0.562494102143171,glutamate,"Davis et al., 2020 (TAPIN)",right,,fw100796,,,isomorphic,,,
101775,8.47984605743181e+16,720575940624325629,205946.0,67319.0,5519.0,207608.0,71008.0,5749.0,8523610.0,intrinsic,optic,ME,,,pDm8,,,,glutamate,0.503565078101568,glutamate,"Davis et al., 2020 (TAPIN)",right,,fw101832,,,isomorphic,,,
102115,8.24772538208866e+16,720575940635748344,172036.0,81797.0,3568.0,200464.0,95464.0,4559.0,8255771.0,intrinsic,optic,LO,,,Li06,,,,acetylcholine,0.784085654701321,,,right,,fw102173,,,isomorphic,,,
103441,8.50085359476463e+16,720575940626377060,209190.0,52510.0,5012.0,210272.0,53288.0,5527.0,8469635.0,intrinsic,optic,ME>LO,,,Tm3,,,,acetylcholine,0.839747200926505,acetylcholine,"Davis et al., 2020 (TAPIN)",right,,fw103499,,,isomorphic,,,
104116,7.46650864679713e+16,720575940625376776,59169.0,63580.0,5121.0,42992.0,67024.0,5322.0,594012.0,intrinsic,optic,ME>LO,,,Tm25,,,,acetylcholine,0.678915257549496,acetylcholine,"Nern et al., 2024 (EASI-FISH)",left,,fw104175,,,isomorphic,,,
104212,7.57907802157875e+16,720575940632256843,75288.0,60610.0,4728.0,67528.0,62704.0,6595.0,1324872.0,intrinsic,optic,ME>LA,,,C3,,,,gaba,0.779904151817053,"gaba, nitric oxide","Davis et al., 2020 (TAPIN)",left,,fw104271,,,isomorphic,,,
104532,7.46652239739477e+16,720575940634922391,58668.0,65398.0,5621.0,45752.0,69336.0,5590.0,597425.0,intrinsic,optic,ME>LO,,,Tm5f,,,,acetylcholine,0.68374703697304,,,left,,fw104591,,,isomorphic,,,
104612,7.43832679604945e+16,720575940631651882,54740.0,58344.0,5310.0,46728.0,57072.0,5538.0,535975.0,intrinsic,optic,ME>LO,,,Tm5c,,,,glutamate,0.515684699562898,,,left,,fw104671,,,isomorphic,,,
105385,7.56517606472938e+16,720575940623685779,73586.0,86123.0,4258.0,69332.0,91408.0,4021.0,,intrinsic,optic,ME>LO,,,Tm4,,,,acetylcholine,0.807846658278818,acetylcholine,"Davis et al., 2020 (TAPIN)",left,,fw105442,,,isomorphic,,,
106017,8.36709111988172e+16,720575940627563653,190112.0,43560.0,4049.0,185920.0,40280.0,4186.0,7632492.0,intrinsic,optic,ME,,,Mi4,,,,gaba,0.840989616219271,"glutamate, gaba; glutamate","Davis et al., 2020 (TAPIN); Takemura et al., 2017 (immuno)",right,,fw106073,,,isomorphic,,,
106348,7.38204553119259e+16,720575940614754344,46413.0,60435.0,4371.0,41984.0,61456.0,3945.0,545443.0,intrinsic,optic,LA>ME,L1-5,,L3,,,,acetylcholine,0.792216731276393,acetylcholine,"Davis et al., 2020 (TAPIN)",left,,fw106404,FBbt_00003720,,isomorphic,,,
106875,8.53626472097475e+16,720575940660372609,214700.0,86628.0,3331.0,221208.0,84112.0,3331.0,8993416.0,intrinsic,optic,LA>ME,L1-5,,L2,,,,acetylcholine,0.834663623838532,acetylcholine,"Davis et al., 2020 (TAPIN)",right,,fw106931,FBbt_00003720,,isomorphic,,,
106901,8.29702474139232e+16,720575940622379760,179682.0,87703.0,3972.0,190216.0,95496.0,2969.0,7950337.0,intrinsic,optic,ME>LO,,,Tm5b,,,,acetylcholine,0.822021309252291,,,right,,fw106957,,,isomorphic,,,
106953,7.51567056043313e+16,720575940613803757,66179.0,48788.0,5027.0,68688.0,41672.0,4012.0,1276594.0,intrinsic,optic,ME>LO,,,Tm5b,,,,acetylcholine,0.829774715250279,,,left,,fw107009,,,isomorphic,,,
107254,7.57907112954582e+16,720575940617678804,75576.0,59317.0,3527.0,79096.0,58992.0,2809.0,1533270.0,intrinsic,optic,ME,columnar,,Mi4,,,,gaba,0.606179716313619,"gaba, nitric oxide","Davis et al., 2020 (TAPIN)",left,,fw107311,,,isomorphic,,,
107703,8.40246789302383e+16,720575940612883710,194738.0,72232.0,2589.0,222616.0,73000.0,3433.0,9141485.0,intrinsic,optic,LA>ME,L1-5,,L5,,,,acetylcholine,0.614290290639411,acetylcholine,"Davis et al., 2020 (TAPIN)",right,,fw107760,FBbt_00003725,,isomorphic,,,
108294,7.55813232509113e+16,720575940613850349,71821.0,84615.0,4883.0,64888.0,88769.0,4637.0,,intrinsic,optic,ME,,,Mi9,,,,glutamate,0.495483134199945,"glutamate, gaba; glutamate","Davis et al., 2020 (TAPIN); Takemura et al., 2017 (immuno)",left,,fw108353,,,isomorphic,,,
